Country of residence,Origin,Year,Month,Values
Austria,Uganda,2002,February,1
Austria,Uganda,2002,May,1
Austria,Uganda,2002,June,2
Austria,Uganda,2002,July,1
Austria,Uganda,2002,August,3
Austria,Uganda,2002,September,3
Austria,Uganda,2002,October,1
Austria,Uganda,2002,November,1
Belgium,Uganda,2002,January,2
Belgium,Uganda,2002,May,2
Belgium,Uganda,2002,June,1
Belgium,Uganda,2002,July,1
Belgium,Uganda,2002,November,1
Belgium,Uganda,2002,December,2
Canada,Uganda,2002,January,4
Canada,Uganda,2002,February,4
Canada,Uganda,2002,March,1
Canada,Uganda,2002,April,1
Canada,Uganda,2002,May,5
Canada,Uganda,2002,June,4
Canada,Uganda,2002,July,14
Canada,Uganda,2002,August,6
Canada,Uganda,2002,September,49
Canada,Uganda,2002,October,20
Canada,Uganda,2002,November,8
Canada,Uganda,2002,December,2
Denmark,Uganda,2002,January,2
Denmark,Uganda,2002,March,1
Denmark,Uganda,2002,April,1
Denmark,Uganda,2002,August,1
Denmark,Uganda,2002,October,1
Denmark,Uganda,2002,November,1
Finland,Uganda,2002,October,1
France,Uganda,2002,February,1
France,Uganda,2002,April,2
Germany,Uganda,2002,January,8
Germany,Uganda,2002,February,7
Germany,Uganda,2002,March,9
Germany,Uganda,2002,April,5
Germany,Uganda,2002,May,8
Germany,Uganda,2002,June,10
Germany,Uganda,2002,July,6
Germany,Uganda,2002,August,11
Germany,Uganda,2002,September,10
Germany,Uganda,2002,October,16
Germany,Uganda,2002,November,6
Germany,Uganda,2002,December,3
Ireland,Uganda,2002,March,1
Ireland,Uganda,2002,May,2
Ireland,Uganda,2002,June,3
Ireland,Uganda,2002,August,2
Ireland,Uganda,2002,October,3
Ireland,Uganda,2002,November,3
Ireland,Uganda,2002,December,2
Netherlands,Uganda,2002,January,5
Netherlands,Uganda,2002,February,5
Netherlands,Uganda,2002,March,6
Netherlands,Uganda,2002,April,2
Netherlands,Uganda,2002,May,1
Netherlands,Uganda,2002,June,8
Netherlands,Uganda,2002,July,5
Netherlands,Uganda,2002,August,3
Netherlands,Uganda,2002,September,5
Netherlands,Uganda,2002,October,7
Netherlands,Uganda,2002,November,4
Netherlands,Uganda,2002,December,1
Norway,Uganda,2002,February,1
Norway,Uganda,2002,March,1
Norway,Uganda,2002,April,1
Norway,Uganda,2002,July,1
Norway,Uganda,2002,November,2
Norway,Uganda,2002,December,1
Spain,Uganda,2002,April,2
Spain,Uganda,2002,May,2
Sweden,Uganda,2002,January,1
Sweden,Uganda,2002,February,5
Sweden,Uganda,2002,June,6
Sweden,Uganda,2002,July,5
Sweden,Uganda,2002,August,7
Sweden,Uganda,2002,September,3
Sweden,Uganda,2002,October,2
Sweden,Uganda,2002,November,5
Sweden,Uganda,2002,December,1
Switzerland,Uganda,2002,January,3
Switzerland,Uganda,2002,February,1
Switzerland,Uganda,2002,March,2
Switzerland,Uganda,2002,April,1
Switzerland,Uganda,2002,July,2
Switzerland,Uganda,2002,August,1
Switzerland,Uganda,2002,September,2
United Kingdom of Great Britain and Northern Ireland,Uganda,2002,January,50
United Kingdom of Great Britain and Northern Ireland,Uganda,2002,February,75
United Kingdom of Great Britain and Northern Ireland,Uganda,2002,March,66
United Kingdom of Great Britain and Northern Ireland,Uganda,2002,April,60
United Kingdom of Great Britain and Northern Ireland,Uganda,2002,May,60
United Kingdom of Great Britain and Northern Ireland,Uganda,2002,June,58
United Kingdom of Great Britain and Northern Ireland,Uganda,2002,July,55
United Kingdom of Great Britain and Northern Ireland,Uganda,2002,August,51
United Kingdom of Great Britain and Northern Ireland,Uganda,2002,September,54
United Kingdom of Great Britain and Northern Ireland,Uganda,2002,October,86
United Kingdom of Great Britain and Northern Ireland,Uganda,2002,November,91
United Kingdom of Great Britain and Northern Ireland,Uganda,2002,December,82
USA (EOIR),Uganda,2002,January,4
USA (EOIR),Uganda,2002,February,3
USA (EOIR),Uganda,2002,March,2
USA (EOIR),Uganda,2002,April,3
USA (EOIR),Uganda,2002,May,2
USA (EOIR),Uganda,2002,August,4
USA (EOIR),Uganda,2002,September,2
USA (EOIR),Uganda,2002,December,1
USA (INS/DHS),Uganda,2002,January,18
USA (INS/DHS),Uganda,2002,February,19
USA (INS/DHS),Uganda,2002,March,24
USA (INS/DHS),Uganda,2002,April,32
USA (INS/DHS),Uganda,2002,May,20
USA (INS/DHS),Uganda,2002,June,25
USA (INS/DHS),Uganda,2002,July,20
USA (INS/DHS),Uganda,2002,August,23
USA (INS/DHS),Uganda,2002,September,18
USA (INS/DHS),Uganda,2002,October,22
USA (INS/DHS),Uganda,2002,November,11
USA (INS/DHS),Uganda,2002,December,25
Australia,Uganda,2003,January,2
Australia,Uganda,2003,February,1
Australia,Uganda,2003,May,1
Australia,Uganda,2003,July,1
Australia,Uganda,2003,October,3
Austria,Uganda,2003,April,2
Austria,Uganda,2003,May,1
Austria,Uganda,2003,June,1
Austria,Uganda,2003,July,1
Austria,Uganda,2003,August,1
Austria,Uganda,2003,October,1
Austria,Uganda,2003,December,3
Belgium,Uganda,2003,January,2
Belgium,Uganda,2003,May,1
Belgium,Uganda,2003,June,1
Belgium,Uganda,2003,July,1
Belgium,Uganda,2003,August,1
Belgium,Uganda,2003,September,1
Belgium,Uganda,2003,October,1
Belgium,Uganda,2003,December,3
Canada,Uganda,2003,January,6
Canada,Uganda,2003,February,5
Canada,Uganda,2003,April,3
Canada,Uganda,2003,May,4
Canada,Uganda,2003,June,4
Canada,Uganda,2003,July,14
Canada,Uganda,2003,August,5
Canada,Uganda,2003,September,10
Canada,Uganda,2003,October,11
Canada,Uganda,2003,November,7
Canada,Uganda,2003,December,3
Czech Rep.,Uganda,2003,August,1
Denmark,Uganda,2003,March,1
Denmark,Uganda,2003,April,1
Denmark,Uganda,2003,May,2
Denmark,Uganda,2003,October,1
Denmark,Uganda,2003,December,1
Finland,Uganda,2003,June,1
Germany,Uganda,2003,January,13
Germany,Uganda,2003,February,7
Germany,Uganda,2003,March,19
Germany,Uganda,2003,April,13
Germany,Uganda,2003,May,12
Germany,Uganda,2003,June,7
Germany,Uganda,2003,July,12
Germany,Uganda,2003,August,6
Germany,Uganda,2003,September,11
Germany,Uganda,2003,October,8
Germany,Uganda,2003,November,7
Germany,Uganda,2003,December,2
Greece,Uganda,2003,September,1
Hungary,Uganda,2003,October,1
Ireland,Uganda,2003,January,8
Ireland,Uganda,2003,March,5
Ireland,Uganda,2003,April,2
Ireland,Uganda,2003,May,1
Ireland,Uganda,2003,June,8
Ireland,Uganda,2003,July,2
Ireland,Uganda,2003,August,1
Ireland,Uganda,2003,September,3
Ireland,Uganda,2003,October,1
Ireland,Uganda,2003,November,2
Ireland,Uganda,2003,December,2
Japan,Uganda,2003,November,1
Luxembourg,Uganda,2003,December,1
Netherlands,Uganda,2003,January,1
Netherlands,Uganda,2003,February,2
Netherlands,Uganda,2003,March,4
Netherlands,Uganda,2003,May,2
Netherlands,Uganda,2003,June,2
Netherlands,Uganda,2003,July,1
Netherlands,Uganda,2003,August,2
Netherlands,Uganda,2003,September,3
Netherlands,Uganda,2003,October,2
Netherlands,Uganda,2003,November,1
Netherlands,Uganda,2003,December,2
Norway,Uganda,2003,February,2
Norway,Uganda,2003,March,1
Norway,Uganda,2003,April,2
Norway,Uganda,2003,September,1
Norway,Uganda,2003,October,1
Norway,Uganda,2003,November,1
Norway,Uganda,2003,December,1
Rep. of Korea,Uganda,2003,March,1
Sweden,Uganda,2003,January,2
Sweden,Uganda,2003,February,1
Sweden,Uganda,2003,March,3
Sweden,Uganda,2003,April,5
Sweden,Uganda,2003,June,3
Sweden,Uganda,2003,August,1
Sweden,Uganda,2003,October,2
Sweden,Uganda,2003,December,1
Switzerland,Uganda,2003,April,1
Switzerland,Uganda,2003,July,1
Switzerland,Uganda,2003,August,2
Switzerland,Uganda,2003,September,2
Switzerland,Uganda,2003,November,1
United Kingdom of Great Britain and Northern Ireland,Uganda,2003,January,105
United Kingdom of Great Britain and Northern Ireland,Uganda,2003,February,76
United Kingdom of Great Britain and Northern Ireland,Uganda,2003,March,54
United Kingdom of Great Britain and Northern Ireland,Uganda,2003,April,72
United Kingdom of Great Britain and Northern Ireland,Uganda,2003,May,63
United Kingdom of Great Britain and Northern Ireland,Uganda,2003,June,60
United Kingdom of Great Britain and Northern Ireland,Uganda,2003,July,70
United Kingdom of Great Britain and Northern Ireland,Uganda,2003,August,63
United Kingdom of Great Britain and Northern Ireland,Uganda,2003,September,48
United Kingdom of Great Britain and Northern Ireland,Uganda,2003,October,59
United Kingdom of Great Britain and Northern Ireland,Uganda,2003,November,42
United Kingdom of Great Britain and Northern Ireland,Uganda,2003,December,62
USA (EOIR),Uganda,2003,January,1
USA (EOIR),Uganda,2003,February,1
USA (EOIR),Uganda,2003,March,2
USA (EOIR),Uganda,2003,April,2
USA (EOIR),Uganda,2003,July,2
USA (EOIR),Uganda,2003,August,2
USA (EOIR),Uganda,2003,October,2
USA (EOIR),Uganda,2003,November,3
USA (EOIR),Uganda,2003,December,3
USA (INS/DHS),Uganda,2003,January,18
USA (INS/DHS),Uganda,2003,February,18
USA (INS/DHS),Uganda,2003,March,13
USA (INS/DHS),Uganda,2003,April,17
USA (INS/DHS),Uganda,2003,May,10
USA (INS/DHS),Uganda,2003,June,18
USA (INS/DHS),Uganda,2003,September,7
USA (INS/DHS),Uganda,2003,October,10
USA (INS/DHS),Uganda,2003,November,10
USA (INS/DHS),Uganda,2003,December,9
Australia,Uganda,2004,March,2
Australia,Uganda,2004,April,4
Australia,Uganda,2004,May,2
Australia,Uganda,2004,June,2
Australia,Uganda,2004,August,1
Australia,Uganda,2004,October,1
Austria,Uganda,2004,March,2
Austria,Uganda,2004,April,4
Austria,Uganda,2004,May,1
Austria,Uganda,2004,June,4
Austria,Uganda,2004,July,1
Austria,Uganda,2004,August,1
Austria,Uganda,2004,September,2
Belgium,Uganda,2004,February,1
Belgium,Uganda,2004,May,1
Belgium,Uganda,2004,July,1
Belgium,Uganda,2004,November,2
Belgium,Uganda,2004,December,1
Canada,Uganda,2004,January,2
Canada,Uganda,2004,February,8
Canada,Uganda,2004,March,1
Canada,Uganda,2004,April,4
Canada,Uganda,2004,May,9
Canada,Uganda,2004,June,5
Canada,Uganda,2004,July,5
Canada,Uganda,2004,August,12
Canada,Uganda,2004,September,3
Canada,Uganda,2004,October,4
Canada,Uganda,2004,November,9
Canada,Uganda,2004,December,4
Czech Rep.,Uganda,2004,February,1
Denmark,Uganda,2004,May,1
Denmark,Uganda,2004,June,1
Denmark,Uganda,2004,October,1
Denmark,Uganda,2004,December,3
Finland,Uganda,2004,January,1
France,Uganda,2004,April,2
France,Uganda,2004,June,1
France,Uganda,2004,October,2
France,Uganda,2004,December,1
Germany,Uganda,2004,January,9
Germany,Uganda,2004,February,4
Germany,Uganda,2004,March,13
Germany,Uganda,2004,April,8
Germany,Uganda,2004,May,7
Germany,Uganda,2004,June,17
Germany,Uganda,2004,July,9
Germany,Uganda,2004,August,6
Germany,Uganda,2004,September,5
Germany,Uganda,2004,October,5
Germany,Uganda,2004,November,5
Germany,Uganda,2004,December,8
Hungary,Uganda,2004,September,2
Ireland,Uganda,2004,February,2
Ireland,Uganda,2004,March,4
Ireland,Uganda,2004,April,4
Ireland,Uganda,2004,May,1
Ireland,Uganda,2004,June,1
Ireland,Uganda,2004,July,2
Ireland,Uganda,2004,September,4
Ireland,Uganda,2004,October,1
Ireland,Uganda,2004,November,1
Ireland,Uganda,2004,December,5
Japan,Uganda,2004,October,1
Luxembourg,Uganda,2004,March,1
Luxembourg,Uganda,2004,April,1
Luxembourg,Uganda,2004,May,1
Luxembourg,Uganda,2004,August,1
Netherlands,Uganda,2004,January,9
Netherlands,Uganda,2004,February,2
Netherlands,Uganda,2004,March,6
Netherlands,Uganda,2004,April,1
Netherlands,Uganda,2004,May,2
Netherlands,Uganda,2004,July,3
Netherlands,Uganda,2004,August,3
Netherlands,Uganda,2004,September,4
Netherlands,Uganda,2004,October,1
Netherlands,Uganda,2004,November,2
New Zealand,Uganda,2004,April,2
Norway,Uganda,2004,January,1
Norway,Uganda,2004,May,1
Norway,Uganda,2004,June,1
Norway,Uganda,2004,August,1
Norway,Uganda,2004,September,3
Poland,Uganda,2004,December,1
Rep. of Korea,Uganda,2004,April,1
Rep. of Korea,Uganda,2004,May,1
Rep. of Korea,Uganda,2004,July,1
Rep. of Korea,Uganda,2004,August,2
Rep. of Korea,Uganda,2004,September,1
Rep. of Korea,Uganda,2004,October,1
Rep. of Korea,Uganda,2004,December,1
Spain,Uganda,2004,March,5
Spain,Uganda,2004,April,2
Spain,Uganda,2004,October,2
Sweden,Uganda,2004,January,2
Sweden,Uganda,2004,February,3
Sweden,Uganda,2004,March,2
Sweden,Uganda,2004,May,2
Sweden,Uganda,2004,June,1
Sweden,Uganda,2004,July,3
Sweden,Uganda,2004,August,3
Sweden,Uganda,2004,September,2
Sweden,Uganda,2004,November,3
Switzerland,Uganda,2004,January,1
Switzerland,Uganda,2004,March,3
Switzerland,Uganda,2004,May,2
Switzerland,Uganda,2004,July,1
Switzerland,Uganda,2004,September,1
Switzerland,Uganda,2004,December,3
United Kingdom of Great Britain and Northern Ireland,Uganda,2004,January,34
United Kingdom of Great Britain and Northern Ireland,Uganda,2004,February,56
United Kingdom of Great Britain and Northern Ireland,Uganda,2004,March,71
United Kingdom of Great Britain and Northern Ireland,Uganda,2004,April,45
United Kingdom of Great Britain and Northern Ireland,Uganda,2004,May,36
United Kingdom of Great Britain and Northern Ireland,Uganda,2004,June,34
United Kingdom of Great Britain and Northern Ireland,Uganda,2004,July,28
United Kingdom of Great Britain and Northern Ireland,Uganda,2004,August,37
United Kingdom of Great Britain and Northern Ireland,Uganda,2004,September,25
United Kingdom of Great Britain and Northern Ireland,Uganda,2004,October,35
United Kingdom of Great Britain and Northern Ireland,Uganda,2004,November,23
United Kingdom of Great Britain and Northern Ireland,Uganda,2004,December,22
USA (EOIR),Uganda,2004,January,2
USA (EOIR),Uganda,2004,February,1
USA (EOIR),Uganda,2004,March,1
USA (EOIR),Uganda,2004,April,1
USA (EOIR),Uganda,2004,May,1
USA (EOIR),Uganda,2004,June,3
USA (EOIR),Uganda,2004,July,1
USA (EOIR),Uganda,2004,August,2
USA (EOIR),Uganda,2004,September,1
USA (EOIR),Uganda,2004,October,3
USA (EOIR),Uganda,2004,December,1
USA (INS/DHS),Uganda,2004,January,10
USA (INS/DHS),Uganda,2004,February,7
USA (INS/DHS),Uganda,2004,April,8
USA (INS/DHS),Uganda,2004,September,6
USA (INS/DHS),Uganda,2004,November,8
USA (INS/DHS),Uganda,2004,December,11
Australia,Uganda,2005,September,1
Australia,Uganda,2005,October,2
Australia,Uganda,2005,December,1
Austria,Uganda,2005,January,1
Austria,Uganda,2005,March,2
Austria,Uganda,2005,June,1
Austria,Uganda,2005,July,2
Austria,Uganda,2005,August,3
Austria,Uganda,2005,September,3
Austria,Uganda,2005,November,1
Austria,Uganda,2005,December,1
Belgium,Uganda,2005,January,3
Belgium,Uganda,2005,March,1
Belgium,Uganda,2005,April,1
Belgium,Uganda,2005,May,1
Belgium,Uganda,2005,June,1
Belgium,Uganda,2005,July,1
Belgium,Uganda,2005,August,2
Belgium,Uganda,2005,September,1
Belgium,Uganda,2005,October,1
Belgium,Uganda,2005,November,1
Belgium,Uganda,2005,December,2
Canada,Uganda,2005,January,5
Canada,Uganda,2005,March,6
Canada,Uganda,2005,May,11
Canada,Uganda,2005,June,3
Canada,Uganda,2005,July,2
Canada,Uganda,2005,August,3
Canada,Uganda,2005,September,3
Canada,Uganda,2005,October,7
Canada,Uganda,2005,November,9
Canada,Uganda,2005,December,4
Denmark,Uganda,2005,January,2
Denmark,Uganda,2005,March,1
Denmark,Uganda,2005,May,2
Denmark,Uganda,2005,June,1
Denmark,Uganda,2005,July,2
Denmark,Uganda,2005,August,2
Denmark,Uganda,2005,September,1
Denmark,Uganda,2005,December,1
Finland,Uganda,2005,February,1
France,Uganda,2005,April,4
France,Uganda,2005,May,1
France,Uganda,2005,June,1
France,Uganda,2005,August,1
France,Uganda,2005,September,3
France,Uganda,2005,November,1
Germany,Uganda,2005,January,1
Germany,Uganda,2005,February,3
Germany,Uganda,2005,March,3
Germany,Uganda,2005,April,5
Germany,Uganda,2005,May,5
Germany,Uganda,2005,June,8
Germany,Uganda,2005,July,6
Germany,Uganda,2005,August,1
Germany,Uganda,2005,September,7
Germany,Uganda,2005,October,6
Germany,Uganda,2005,November,3
Germany,Uganda,2005,December,3
Greece,Uganda,2005,May,1
Greece,Uganda,2005,June,3
Greece,Uganda,2005,July,4
Greece,Uganda,2005,December,1
Hungary,Uganda,2005,January,1
Hungary,Uganda,2005,June,1
Ireland,Uganda,2005,January,2
Ireland,Uganda,2005,March,5
Ireland,Uganda,2005,April,1
Ireland,Uganda,2005,May,1
Ireland,Uganda,2005,June,1
Ireland,Uganda,2005,July,3
Ireland,Uganda,2005,November,3
Ireland,Uganda,2005,December,5
Japan,Uganda,2005,July,1
Luxembourg,Uganda,2005,February,1
Netherlands,Uganda,2005,January,2
Netherlands,Uganda,2005,March,1
Netherlands,Uganda,2005,April,3
Netherlands,Uganda,2005,May,1
Netherlands,Uganda,2005,June,1
Netherlands,Uganda,2005,July,2
Netherlands,Uganda,2005,August,4
Netherlands,Uganda,2005,September,1
Netherlands,Uganda,2005,October,1
Netherlands,Uganda,2005,November,1
Netherlands,Uganda,2005,December,2
Norway,Uganda,2005,January,1
Norway,Uganda,2005,February,1
Norway,Uganda,2005,July,1
Norway,Uganda,2005,August,7
Norway,Uganda,2005,September,1
Poland,Uganda,2005,June,3
Poland,Uganda,2005,July,1
Rep. of Korea,Uganda,2005,January,1
Rep. of Korea,Uganda,2005,February,3
Rep. of Korea,Uganda,2005,March,4
Rep. of Korea,Uganda,2005,April,11
Rep. of Korea,Uganda,2005,May,7
Rep. of Korea,Uganda,2005,June,1
Rep. of Korea,Uganda,2005,July,1
Rep. of Korea,Uganda,2005,August,3
Rep. of Korea,Uganda,2005,September,5
Rep. of Korea,Uganda,2005,October,1
Rep. of Korea,Uganda,2005,November,4
Rep. of Korea,Uganda,2005,December,5
Spain,Uganda,2005,February,2
Spain,Uganda,2005,April,1
Spain,Uganda,2005,November,2
Spain,Uganda,2005,December,2
Sweden,Uganda,2005,January,5
Sweden,Uganda,2005,February,6
Sweden,Uganda,2005,March,1
Sweden,Uganda,2005,April,2
Sweden,Uganda,2005,May,1
Sweden,Uganda,2005,June,2
Sweden,Uganda,2005,July,3
Sweden,Uganda,2005,August,2
Sweden,Uganda,2005,September,3
Sweden,Uganda,2005,November,3
Sweden,Uganda,2005,December,1
Switzerland,Uganda,2005,January,1
Switzerland,Uganda,2005,February,1
Switzerland,Uganda,2005,March,1
Switzerland,Uganda,2005,May,1
Switzerland,Uganda,2005,June,2
Switzerland,Uganda,2005,July,1
Switzerland,Uganda,2005,August,1
Switzerland,Uganda,2005,September,2
Switzerland,Uganda,2005,October,1
Switzerland,Uganda,2005,November,1
United Kingdom of Great Britain and Northern Ireland,Uganda,2005,January,26
United Kingdom of Great Britain and Northern Ireland,Uganda,2005,February,16
United Kingdom of Great Britain and Northern Ireland,Uganda,2005,March,27
United Kingdom of Great Britain and Northern Ireland,Uganda,2005,April,20
United Kingdom of Great Britain and Northern Ireland,Uganda,2005,May,23
United Kingdom of Great Britain and Northern Ireland,Uganda,2005,June,19
United Kingdom of Great Britain and Northern Ireland,Uganda,2005,July,14
United Kingdom of Great Britain and Northern Ireland,Uganda,2005,August,12
United Kingdom of Great Britain and Northern Ireland,Uganda,2005,September,22
United Kingdom of Great Britain and Northern Ireland,Uganda,2005,October,14
United Kingdom of Great Britain and Northern Ireland,Uganda,2005,November,10
United Kingdom of Great Britain and Northern Ireland,Uganda,2005,December,16
USA (EOIR),Uganda,2005,January,1
USA (EOIR),Uganda,2005,February,4
USA (EOIR),Uganda,2005,March,1
USA (EOIR),Uganda,2005,April,1
USA (EOIR),Uganda,2005,June,1
USA (EOIR),Uganda,2005,September,2
USA (EOIR),Uganda,2005,November,2
USA (INS/DHS),Uganda,2005,January,4
USA (INS/DHS),Uganda,2005,February,6
USA (INS/DHS),Uganda,2005,March,9
USA (INS/DHS),Uganda,2005,April,7
USA (INS/DHS),Uganda,2005,May,12
USA (INS/DHS),Uganda,2005,June,6
USA (INS/DHS),Uganda,2005,July,7
USA (INS/DHS),Uganda,2005,August,5
USA (INS/DHS),Uganda,2005,September,3
USA (INS/DHS),Uganda,2005,October,4
USA (INS/DHS),Uganda,2005,November,2
USA (INS/DHS),Uganda,2005,December,1
Australia,Uganda,2006,June,1
Austria,Uganda,2006,March,1
Austria,Uganda,2006,May,2
Austria,Uganda,2006,August,2
Austria,Uganda,2006,October,1
Austria,Uganda,2006,November,1
Belgium,Uganda,2006,January,1
Belgium,Uganda,2006,April,2
Belgium,Uganda,2006,May,3
Belgium,Uganda,2006,July,1
Belgium,Uganda,2006,September,3
Belgium,Uganda,2006,October,3
Belgium,Uganda,2006,December,2
Canada,Uganda,2006,January,4
Canada,Uganda,2006,February,4
Canada,Uganda,2006,March,4
Canada,Uganda,2006,April,3
Canada,Uganda,2006,May,5
Canada,Uganda,2006,June,8
Canada,Uganda,2006,July,18
Canada,Uganda,2006,August,65
Canada,Uganda,2006,September,33
Canada,Uganda,2006,October,8
Canada,Uganda,2006,November,8
Canada,Uganda,2006,December,5
Czech Rep.,Uganda,2006,June,1
Czech Rep.,Uganda,2006,July,1
Denmark,Uganda,2006,September,3
Denmark,Uganda,2006,December,1
France,Uganda,2006,January,2
France,Uganda,2006,February,2
France,Uganda,2006,July,2
France,Uganda,2006,November,1
Germany,Uganda,2006,January,4
Germany,Uganda,2006,February,7
Germany,Uganda,2006,March,4
Germany,Uganda,2006,April,2
Germany,Uganda,2006,May,4
Germany,Uganda,2006,June,1
Germany,Uganda,2006,August,5
Germany,Uganda,2006,September,2
Germany,Uganda,2006,November,2
Germany,Uganda,2006,December,2
Greece,Uganda,2006,February,1
Greece,Uganda,2006,April,2
Greece,Uganda,2006,May,1
Greece,Uganda,2006,July,1
Greece,Uganda,2006,October,2
Greece,Uganda,2006,November,2
Hungary,Uganda,2006,January,1
Ireland,Uganda,2006,February,4
Ireland,Uganda,2006,March,2
Ireland,Uganda,2006,April,1
Ireland,Uganda,2006,May,2
Ireland,Uganda,2006,June,3
Ireland,Uganda,2006,July,1
Ireland,Uganda,2006,August,1
Ireland,Uganda,2006,September,1
Ireland,Uganda,2006,October,10
Ireland,Uganda,2006,November,1
Japan,Uganda,2006,March,1
Japan,Uganda,2006,August,1
Netherlands,Uganda,2006,January,3
Netherlands,Uganda,2006,February,2
Netherlands,Uganda,2006,April,14
Netherlands,Uganda,2006,May,3
Netherlands,Uganda,2006,June,3
Netherlands,Uganda,2006,July,3
Netherlands,Uganda,2006,August,2
Netherlands,Uganda,2006,September,1
Netherlands,Uganda,2006,October,3
Netherlands,Uganda,2006,November,3
Netherlands,Uganda,2006,December,3
Norway,Uganda,2006,January,1
Norway,Uganda,2006,February,2
Norway,Uganda,2006,April,2
Norway,Uganda,2006,May,2
Norway,Uganda,2006,June,6
Norway,Uganda,2006,August,1
Norway,Uganda,2006,December,5
Rep. of Korea,Uganda,2006,January,1
Rep. of Korea,Uganda,2006,March,1
Rep. of Korea,Uganda,2006,April,4
Rep. of Korea,Uganda,2006,July,2
Rep. of Korea,Uganda,2006,August,4
Rep. of Korea,Uganda,2006,October,3
Rep. of Korea,Uganda,2006,November,3
Rep. of Korea,Uganda,2006,December,2
Spain,Uganda,2006,January,1
Spain,Uganda,2006,February,1
Spain,Uganda,2006,March,1
Spain,Uganda,2006,April,1
Spain,Uganda,2006,October,5
Spain,Uganda,2006,November,1
Sweden,Uganda,2006,January,4
Sweden,Uganda,2006,February,3
Sweden,Uganda,2006,March,2
Sweden,Uganda,2006,April,2
Sweden,Uganda,2006,June,9
Sweden,Uganda,2006,July,3
Sweden,Uganda,2006,August,4
Sweden,Uganda,2006,September,3
Sweden,Uganda,2006,November,3
Sweden,Uganda,2006,December,1
Switzerland,Uganda,2006,January,2
Switzerland,Uganda,2006,May,2
Switzerland,Uganda,2006,June,1
Switzerland,Uganda,2006,July,1
Switzerland,Uganda,2006,August,2
Switzerland,Uganda,2006,September,1
Switzerland,Uganda,2006,October,1
Switzerland,Uganda,2006,November,3
Switzerland,Uganda,2006,December,1
Turkey,Uganda,2006,May,1
United Kingdom of Great Britain and Northern Ireland,Uganda,2006,January,12
United Kingdom of Great Britain and Northern Ireland,Uganda,2006,February,18
United Kingdom of Great Britain and Northern Ireland,Uganda,2006,March,28
United Kingdom of Great Britain and Northern Ireland,Uganda,2006,April,13
United Kingdom of Great Britain and Northern Ireland,Uganda,2006,May,13
United Kingdom of Great Britain and Northern Ireland,Uganda,2006,June,14
United Kingdom of Great Britain and Northern Ireland,Uganda,2006,July,11
United Kingdom of Great Britain and Northern Ireland,Uganda,2006,August,19
United Kingdom of Great Britain and Northern Ireland,Uganda,2006,September,13
United Kingdom of Great Britain and Northern Ireland,Uganda,2006,October,19
United Kingdom of Great Britain and Northern Ireland,Uganda,2006,November,8
United Kingdom of Great Britain and Northern Ireland,Uganda,2006,December,9
USA (EOIR),Uganda,2006,January,2
USA (EOIR),Uganda,2006,March,1
USA (EOIR),Uganda,2006,May,1
USA (EOIR),Uganda,2006,July,1
USA (EOIR),Uganda,2006,August,4
USA (EOIR),Uganda,2006,September,1
USA (EOIR),Uganda,2006,October,1
USA (EOIR),Uganda,2006,December,3
USA (INS/DHS),Uganda,2006,January,6
USA (INS/DHS),Uganda,2006,February,7
USA (INS/DHS),Uganda,2006,March,6
USA (INS/DHS),Uganda,2006,April,5
USA (INS/DHS),Uganda,2006,May,7
USA (INS/DHS),Uganda,2006,June,5
USA (INS/DHS),Uganda,2006,July,7
USA (INS/DHS),Uganda,2006,August,7
USA (INS/DHS),Uganda,2006,September,15
USA (INS/DHS),Uganda,2006,October,9
USA (INS/DHS),Uganda,2006,November,4
USA (INS/DHS),Uganda,2006,December,9
Australia,Uganda,2007,June,3
Australia,Uganda,2007,August,1
Australia,Uganda,2007,October,1
Australia,Uganda,2007,December,1
Austria,Uganda,2007,December,1
Belgium,Uganda,2007,January,1
Belgium,Uganda,2007,February,1
Belgium,Uganda,2007,March,2
Belgium,Uganda,2007,June,1
Belgium,Uganda,2007,August,1
Belgium,Uganda,2007,September,2
Belgium,Uganda,2007,October,1
Belgium,Uganda,2007,November,5
Belgium,Uganda,2007,December,4
Canada,Uganda,2007,January,5
Canada,Uganda,2007,February,1
Canada,Uganda,2007,March,3
Canada,Uganda,2007,April,7
Canada,Uganda,2007,May,4
Canada,Uganda,2007,June,1
Canada,Uganda,2007,August,5
Canada,Uganda,2007,September,1
Canada,Uganda,2007,October,3
Canada,Uganda,2007,November,4
Canada,Uganda,2007,December,5
Denmark,Uganda,2007,February,1
Denmark,Uganda,2007,March,1
Denmark,Uganda,2007,April,1
Denmark,Uganda,2007,May,2
Denmark,Uganda,2007,June,1
Finland,Uganda,2007,August,1
France,Uganda,2007,February,2
France,Uganda,2007,June,1
France,Uganda,2007,July,1
France,Uganda,2007,September,1
France,Uganda,2007,October,4
Germany,Uganda,2007,January,1
Germany,Uganda,2007,February,4
Germany,Uganda,2007,March,6
Germany,Uganda,2007,May,1
Germany,Uganda,2007,July,6
Germany,Uganda,2007,September,2
Germany,Uganda,2007,October,2
Germany,Uganda,2007,November,1
Germany,Uganda,2007,December,1
Greece,Uganda,2007,January,1
Greece,Uganda,2007,February,1
Greece,Uganda,2007,August,3
Greece,Uganda,2007,September,1
Greece,Uganda,2007,October,1
Greece,Uganda,2007,November,1
Greece,Uganda,2007,December,1
